fighter_name,weight_lbs,height_cms,stance
Bea Malecki,135.0,175.26,Orthodox
Megan Anderson,145.0,182.88,Orthodox
Aspen Ladd,135.0,167.64,Orthodox
Rose Namajunas,115.0,165.1,Orthodox
Irene Aldana,135.0,175.26,Orthodox
Luana Carolina,125.0,167.64,Orthodox
Talita Bernardo,135.0,162.56,Orthodox
Macy Chiasson,135.0,180.34,Orthodox
Carla Esparza,115.0,154.94,Orthodox
Angela Hill,115.0,160.02,Orthodox
Roxanne Modafferi,125.0,170.18,Orthodox
Lauren Mueller,125.0,165.1,Orthodox
Marina Rodriguez,115.0,167.64,Orthodox
Sabina Mazo,125.0,170.18,Orthodox
Maycee Barber,125.0,165.1,Switch
Alexis Davis,125.0,167.64,Orthodox
Randa Markos,115.0,162.56,Orthodox
Molly McCann,125.0,162.56,Orthodox
Marion Reneau,135.0,167.64,Orthodox
Tecia Torres,115.0,154.94,Orthodox
Gina Mazany,135.0,167.64,Southpaw
Polyana Viana,115.0,165.1,Orthodox
Liz Carmouche,125.0,167.64,Orthodox
Veronica Macedo,125.0,162.56,Southpaw
Cortney Casey,115.0,170.18,Orthodox
Ashlee Evans-Smith,125.0,172.72,Orthodox
Alexandra Albu,115.0,157.48000000000005,Orthodox
Montana De La Rosa,125.0,170.18,Orthodox
Livinha Souza,115.0,165.1,Orthodox
Mara Romero Borella,125.0,167.64,Orthodox
Paige VanZant,115.0,162.56,Orthodox
Joanne Calderwood,125.0,167.64,Orthodox
Cat Zingano,145.0,167.64,Southpaw
Claudia Gadelha,115.0,162.56,Orthodox
Pannie Kianzad,145.0,170.18,Orthodox
Ji Yeon Kim,125.0,170.18,Orthodox
Julija Stoliarenko,145.0,170.18,Orthodox
Wu Yanan,125.0,172.72,Orthodox
Weili Zhang,115.0,162.56,Switch
Cynthia Calvillo,115.0,162.56,Orthodox
Raquel Pennington,135.0,170.18,Orthodox
Ashley Yoder,115.0,170.18,Southpaw
Sijara Eubanks,135.0,162.56,Orthodox
Michelle Waterson,115.0,160.02,Orthodox
Lina Lansberg,135.0,170.18,Orthodox
Mayra Bueno Silva,135.0,167.64,Orthodox
Jessica Andrade,115.0,154.94,Orthodox
Danielle Taylor,115.0,152.4,Orthodox
Joanna Jedrzejczyk,125.0,167.64,Orthodox
Jessica Aguilar,115.0,160.02,Orthodox
Jamie Moyle,115.0,154.94,Orthodox
Jessica-Rose Clark,125.0,165.1,Orthodox
Viviane Pereira,115.0,154.94,Orthodox
Holly Holm,145.0,172.72,Southpaw
Gillian Robertson,125.0,165.1,Orthodox
Alexa Grasso,115.0,165.1,Orthodox
Poliana Botelho,115.0,172.72,Orthodox
Amanda Nunes,145.0,172.72,Orthodox
Mackenzie Dern,115.0,162.56,Orthodox
Shana Dobson,125.0,167.64,Orthodox
Bec Rawlings,125.0,167.64,Orthodox
Sara McMann,135.0,167.64,Orthodox
Maryna Moroz,125.0,170.18,Orthodox
Maia Stevenson,115.0,162.56,Orthodox
Justine Kish,125.0,165.1,Orthodox
Kalindra Faria,125.0,170.18,Switch
Felice Herrig,115.0,162.56,Orthodox
Amanda Cooper,115.0,160.02,Switch
Nicco Montano,125.0,165.1,Southpaw
Barb Honchak,125.0,162.56,Orthodox
DeAnna Bennett,125.0,162.56,Orthodox
Christina Marks,125.0,170.18,Orthodox
Karine Gevorgyan,125.0,162.56,Orthodox
Ariel Beck,125.0,167.64,Orthodox
Kailin Curran,115.0,162.56,Orthodox
Alex Chambers,115.0,160.02,Orthodox
Pearl Gonzalez,115.0,162.56,Orthodox
Syuri Kondo,115.0,162.56,Orthodox
Leslie Smith,135.0,175.26,Orthodox
JJ Aldrich,125.0,165.1,Southpaw
Jessica Penne,115.0,165.1,Orthodox
Bethe Correia,135.0,165.1,Orthodox
Jocelyn Jones-Lybarger,115.0,170.18,Orthodox
Valerie Letourneau,115.0,170.18,Orthodox
Juliana Lima,115.0,165.1,Orthodox
Seohee Ham,115.0,157.48000000000005,Southpaw
Anna Elmose,115.0,160.02,Orthodox
Miesha Tate,135.0,167.64,Orthodox
Kelly Faszholz,135.0,172.72,Orthodox
Jessica Eye,125.0,167.64,Orthodox
Lauren Murphy,125.0,170.18,Orthodox
Germaine de Randamie,135.0,175.26,Orthodox
Sarah Kaufman,135.0,165.1,Orthodox
Ronda Rousey,135.0,170.18,Orthodox
Aisling Daly,115.0,157.48000000000005,Orthodox
Jessamyn Duke,135.0,180.34,Orthodox
Angela Magana,115.0,154.94,Orthodox
Jessica Rakoczy,115.0,170.18,Orthodox
Izabela Badurek,115.0,165.1,Orthodox
Julianna Pena,135.0,167.64,Orthodox
Larissa Pacheco,135.0,170.18,Orthodox
Alexis Dufresne,135.0,175.26,Orthodox
Emily Peters Kagan,115.0,160.02,Orthodox
Elizabeth Phillips,135.0,167.64,Orthodox
Julie Kedzie,135.0,165.1,Orthodox
Rosi Sexton,135.0,160.02,Orthodox
