fighter_name,weight_lbs,height_cms,stance
Hacran Dias,155.0,172.72,Orthodox
Marcelo Golm,249.0,190.5,Orthodox
Marcin Held,155.0,175.26,Orthodox
Artem Lobov,145.0,175.26,Southpaw
Salim Touahri,170.0,177.8,Orthodox
Takanori Gomi,155.0,170.18,Southpaw
Daichi Abe,170.0,180.34,Orthodox
Luke Rockhold,185.0,190.5,Southpaw
Hector Lombard,185.0,175.26,Southpaw
Jason Saggo,155.0,180.34,Orthodox
Gavin Tucker,145.0,167.64,Southpaw
Mitch Clarke,155.0,177.8,Orthodox
Alexander Volkov,250.0,200.66,Orthodox
Francimar Barroso,205.0,185.42,Orthodox
Bojan Mihajlovic,205.0,180.34,Orthodox
Martin Bravo,145.0,172.72,Southpaw
Jose Quinonez,135.0,172.72,Orthodox
Alvaro Herrera,155.0,182.88,Orthodox
Brian Ortega,145.0,172.72,Switch
Rafael Natal,185.0,182.88,Orthodox
Damian Grabowski,241.0,185.42,Orthodox
Frankie Perez,155.0,180.34,Orthodox
Gunnar Nelson,170.0,180.34,Switch
James Mulheron,243.0,177.8,Orthodox
Charlie Ward,170.0,180.34,Orthodox
Brett Johns,135.0,170.18,Orthodox
Daniel Omielanczuk,247.0,182.88,Southpaw
Anthony Pettis,170.0,177.8,Orthodox
Travis Browne,255.0,198.12,Orthodox
Trevin Giles,185.0,182.88,Orthodox
Ed Herman,205.0,185.42,Orthodox
Josh Stansbury,205.0,187.96,Orthodox
Dong Hyun Kim,170.0,187.96,Southpaw
Tarec Saffiedine,170.0,177.8,Switch
Kwan Ho Kwak,135.0,165.1,Switch
Naoki Inoue,125.0,175.26,Orthodox
Ion Cutelaba,205.0,185.42,Southpaw
Kiichi Kunimoto,170.0,177.8,Orthodox
Paulo Costa,185.0,185.42,Orthodox
Erick Silva,170.0,182.88,Orthodox
Luan Chagas,170.0,182.88,Orthodox
Peter Sobotta,170.0,182.88,Southpaw
Oliver Enkamp,170.0,182.88,Switch
Jack Hermansson,185.0,185.42,Orthodox
Reza Madadi,155.0,180.34,Orthodox
Nico Musoke,170.0,182.88,Orthodox
Joachim Christensen,205.0,190.5,Orthodox
Bryan Barberena,170.0,182.88,Southpaw
Hector Sandoval,125.0,157.48000000000005,Orthodox
Patrick Williams,135.0,172.72,Orthodox
Anthony Smith,205.0,193.04,Orthodox
Will Brooks,155.0,177.8,Orthodox
Brad Pickett,135.0,167.64,Orthodox
Joe Duffy,155.0,177.8,Orthodox
Rony Jason,145.0,170.18,Orthodox
Garreth McLellan,185.0,185.42,Southpaw
Sam Sicilia,145.0,172.72,Orthodox
Anderson Silva,185.0,187.96,Southpaw
Abel Trujillo,155.0,172.72,Orthodox
Daniel Jolly,205.0,185.42,Orthodox
Bobby Nash,170.0,182.88,Orthodox
Henrique da Silva,205.0,190.5,Orthodox
Marcos Rogerio de Lima,253.0,185.42,Orthodox
Jason Gonzalez,155.0,187.96,Southpaw
Yair Rodriguez,145.0,180.34,Orthodox
Dmitrii Smoliakov,253.0,187.96,Switch
Dominick Cruz,135.0,172.72,Orthodox
Brandon Thatch,170.0,187.96,Switch
Urijah Faber,135.0,167.64,Orthodox
Cole Miller,145.0,185.42,Orthodox
James Moontasri,170.0,177.8,Switch
Bojan Velickovic,170.0,182.88,Southpaw
Tim Kennedy,185.0,180.34,Orthodox
Nikita Krylov,205.0,190.5,Orthodox
Zach Makovsky,125.0,162.56,Southpaw
Joe Gigliotti,185.0,180.34,Orthodox
Tiago Trator,145.0,175.26,Orthodox
Keith Berish,205.0,182.88,Orthodox
Dong Hyun Ma,155.0,180.34,Orthodox
Elvis Mutapcic,185.0,182.88,Orthodox
Kyle Noke,170.0,185.42,Southpaw
Yusuke Kasuya,155.0,170.18,Southpaw
Richard Walsh,170.0,182.88,Orthodox
Ben Nguyen,125.0,165.1,Switch
Yao Zhikui,125.0,165.1,Orthodox
Ryan Bader,205.0,187.96,Orthodox
Gegard Mousasi,185.0,187.96,Orthodox
Magnus Cedenblad,185.0,195.58,Orthodox
Kyoji Horiguchi,125.0,165.1,Orthodox
Erik Perez,135.0,172.72,Orthodox
Marco Beltran,125.0,172.72,Orthodox
Erick Montano,170.0,182.88,Orthodox
Polo Reyes,155.0,180.34,Orthodox
Lukasz Sajewski,155.0,172.72,Orthodox
Leonardo Santos,155.0,182.88,Orthodox
Shamil Abdurakhimov,235.0,190.5,Orthodox
Jonathan Wilson,205.0,187.96,Southpaw
Cody East,245.0,190.5,Orthodox
Cris Cyborg,145.0,172.72,Orthodox
Roy Nelson,263.0,182.88,Orthodox
Godofredo Pepey,145.0,170.18,Orthodox
Glaico Franca,155.0,182.88,Orthodox
Roan Carneiro,170.0,180.34,Orthodox
Chris Wade,155.0,177.8,Orthodox
Augusto Montano,170.0,185.42,Orthodox
Yancy Medeiros,155.0,177.8,Orthodox
Jessin Ayari,155.0,182.88,Orthodox
Taylor Lapilus,135.0,167.64,Southpaw
Jarjis Danho,265.0,190.5,Orthodox
